issue_key,squad,sprint,issue_type,assignee_id,cycle_time_hours,is_rework,is_priority
AUTOQ-4808,Auto Quote,Sprint 43,Story,712020:a3f9,39.0,0,Yes
AUTOQ-4809,Auto Quote,Sprint 43,Story,712020:e6f7,36.0,0,Yes
AUTOQ-4810,Auto Quote,Sprint 43,Bug,712020:e6f7,31.0,0,Yes
AUTOQ-4811,Auto Quote,Sprint 43,Story,712020:b1c2,36.0,0,Yes
AUTOQ-4812,Auto Quote,Sprint 43,Story,712020:a3f9,39.0,0,Yes
AUTOQ-4813,Auto Quote,Sprint 43,Bug,712020:c4d5,42.0,0,Yes
AUTOQ-4814,Auto Quote,Sprint 43,Story,712020:b1c2,35.0,0,Yes
AUTOQ-4831,Auto Quote,Sprint 44,Bug,712020:b1c2,34.0,0,Yes
AUTOQ-4832,Auto Quote,Sprint 44,Story,712020:c4d5,,0,Yes
AUTOQ-4833,Auto Quote,Sprint 44,Bug,712020:a3f9,41.0,0,Yes
AUTOQ-4834,Auto Quote,Sprint 44,Story,712020:b1c2,31.0,0,Yes
AUTOQ-4835,Auto Quote,Sprint 44,Story,712020:a3f9,43.0,0,Yes
AUTOQ-4836,Auto Quote,Sprint 44,Bug,712020:b1c2,43.0,0,Yes
AUTOQ-4837,Auto Quote,Sprint 44,Story,712020:a3f9,35.0,0,Yes
AUTOQ-4853,Auto Quote,Sprint 45,Story,712020:e6f7,35.0,1,Yes
AUTOQ-4854,Auto Quote,Sprint 45,Story,712020:b1c2,39.0,0,Yes
AUTOQ-4855,Auto Quote,Sprint 45,Story,712020:e6f7,37.0,1,Yes
AUTOQ-4856,Auto Quote,Sprint 45,Bug,712020:a3f9,29.0,0,Yes
AUTOQ-4857,Auto Quote,Sprint 45,Story,712020:g8h9,42.0,1,Yes
AUTOQ-4858,Auto Quote,Sprint 45,Story,712020:c4d5,,0,Yes
AUTOQ-4859,Auto Quote,Sprint 45,Story,712020:c4d5,32.0,1,Yes
AUTOQ-4860,Auto Quote,Sprint 45,Bug,712020:a3f9,49.0,1,Yes
AUTOQ-4861,Auto Quote,Sprint 45,Story,712020:g8h9,35.0,1,Yes
AUTOQ-4862,Auto Quote,Sprint 45,Bug,712020:b1c2,44.0,1,Yes
AUTOQ-4863,Auto Quote,Sprint 45,Story,712020:g8h9,,0,Yes
AUTOQ-4864,Auto Quote,Sprint 45,Story,712020:b1c2,41.0,1,Yes
AUTOQ-4865,Auto Quote,Sprint 45,Story,712020:c4d5,,0,Yes
AUTOQ-4866,Auto Quote,Sprint 45,Bug,712020:c4d5,36.0,1,Yes
AUTOQ-4867,Auto Quote,Sprint 45,Story,712020:g8h9,41.0,1,Yes
AUTOQ-4868,Auto Quote,Sprint 45,Bug,712020:b1c2,44.0,0,Yes
AUTOQ-4886,Auto Quote,Sprint 46,Bug,712020:g8h9,40.0,0,Yes
AUTOQ-4887,Auto Quote,Sprint 46,Bug,712020:b1c2,48.0,1,Yes
AUTOQ-4888,Auto Quote,Sprint 46,Story,712020:a3f9,,0,Yes
AUTOQ-4889,Auto Quote,Sprint 46,Story,712020:b1c2,38.0,0,Yes
AUTOQ-4890,Auto Quote,Sprint 46,Bug,712020:g8h9,,0,Yes
AUTOQ-4891,Auto Quote,Sprint 46,Story,712020:b1c2,33.0,0,Yes
AUTOQ-4892,Auto Quote,Sprint 46,Story,712020:c4d5,39.0,1,Yes
AUTOQ-4893,Auto Quote,Sprint 46,Story,712020:g8h9,35.0,0,Yes
AUTOQ-4894,Auto Quote,Sprint 46,Bug,712020:b1c2,38.0,0,Yes
AUTOQ-4913,Auto Quote,Sprint 47,Story,712020:g8h9,,0,Yes
AUTOQ-4914,Auto Quote,Sprint 47,Story,712020:e6f7,48.0,1,Yes
AUTOQ-4915,Auto Quote,Sprint 47,Bug,712020:e6f7,30.0,0,Yes
AUTOQ-4916,Auto Quote,Sprint 47,Story,712020:a3f9,45.0,1,Yes
AUTOQ-4917,Auto Quote,Sprint 47,Story,712020:e6f7,44.0,0,Yes
AUTOQ-4918,Auto Quote,Sprint 47,Story,712020:e6f7,44.0,1,Yes
AUTOQ-4919,Auto Quote,Sprint 47,Story,712020:c4d5,37.0,1,Yes
AUTOQ-4920,Auto Quote,Sprint 47,Story,712020:e6f7,37.0,0,Yes
AUTOQ-4939,Auto Quote,Sprint 48,Story,712020:b1c2,27.0,0,Yes
AUTOQ-4940,Auto Quote,Sprint 48,Bug,712020:a3f9,,0,Yes
AUTOQ-4941,Auto Quote,Sprint 48,Story,712020:b1c2,36.0,0,Yes
AUTOQ-4942,Auto Quote,Sprint 48,Story,712020:e6f7,,0,Yes
AUTOQ-4943,Auto Quote,Sprint 48,Story,712020:g8h9,42.0,1,Yes
AUTOQ-4944,Auto Quote,Sprint 48,Bug,712020:a3f9,33.0,0,Yes
AUTOQ-4945,Auto Quote,Sprint 48,Story,712020:b1c2,31.0,0,Yes
AUTOQ-4946,Auto Quote,Sprint 48,Bug,712020:a3f9,35.0,0,Yes
AUTOQ-4947,Auto Quote,Sprint 48,Story,712020:a3f9,33.0,0,Yes
CLAIMS-4815,Claims Portal,Sprint 43,Story,712020:g8h9,51.0,1,Yes
CLAIMS-4816,Claims Portal,Sprint 43,Story,712020:g8h9,45.0,1,Yes
CLAIMS-4817,Claims Portal,Sprint 43,Bug,712020:e6f7,35.0,0,Yes
CLAIMS-4818,Claims Portal,Sprint 43,Story,712020:a3f9,,0,Yes
CLAIMS-4819,Claims Portal,Sprint 43,Story,712020:e6f7,45.0,0,Yes
CLAIMS-4820,Claims Portal,Sprint 43,Story,712020:a3f9,27.0,0,Yes
CLAIMS-4821,Claims Portal,Sprint 43,Story,712020:c4d5,38.0,0,Yes
CLAIMS-4822,Claims Portal,Sprint 43,Story,712020:b1c2,28.0,0,Yes
CLAIMS-4838,Claims Portal,Sprint 44,Story,712020:b1c2,,0,Yes
CLAIMS-4839,Claims Portal,Sprint 44,Story,712020:g8h9,,0,Yes
CLAIMS-4840,Claims Portal,Sprint 44,Story,712020:g8h9,36.0,0,Yes
CLAIMS-4841,Claims Portal,Sprint 44,Story,712020:e6f7,36.0,0,Yes
CLAIMS-4842,Claims Portal,Sprint 44,Bug,712020:c4d5,30.0,0,Yes
CLAIMS-4843,Claims Portal,Sprint 44,Story,712020:e6f7,35.0,0,Yes
CLAIMS-4844,Claims Portal,Sprint 44,Story,712020:g8h9,43.0,0,Yes
CLAIMS-4845,Claims Portal,Sprint 44,Story,712020:c4d5,42.0,1,Yes
CLAIMS-4869,Claims Portal,Sprint 45,Story,712020:e6f7,41.0,0,Yes
CLAIMS-4870,Claims Portal,Sprint 45,Bug,712020:e6f7,34.0,0,Yes
CLAIMS-4871,Claims Portal,Sprint 45,Bug,712020:a3f9,54.0,1,Yes
CLAIMS-4872,Claims Portal,Sprint 45,Bug,712020:e6f7,38.0,1,Yes
CLAIMS-4873,Claims Portal,Sprint 45,Story,712020:g8h9,43.0,0,Yes
CLAIMS-4874,Claims Portal,Sprint 45,Story,712020:c4d5,36.0,0,Yes
CLAIMS-4875,Claims Portal,Sprint 45,Story,712020:b1c2,39.0,0,Yes
CLAIMS-4895,Claims Portal,Sprint 46,Story,712020:c4d5,37.0,0,Yes
CLAIMS-4896,Claims Portal,Sprint 46,Story,712020:e6f7,26.0,0,Yes
CLAIMS-4897,Claims Portal,Sprint 46,Story,712020:g8h9,41.0,1,Yes
CLAIMS-4898,Claims Portal,Sprint 46,Story,712020:b1c2,37.0,1,Yes
CLAIMS-4899,Claims Portal,Sprint 46,Story,712020:e6f7,43.0,1,Yes
CLAIMS-4900,Claims Portal,Sprint 46,Bug,712020:c4d5,42.0,0,Yes
CLAIMS-4901,Claims Portal,Sprint 46,Story,712020:e6f7,37.0,0,Yes
CLAIMS-4902,Claims Portal,Sprint 46,Bug,712020:c4d5,33.0,0,Yes
CLAIMS-4921,Claims Portal,Sprint 47,Story,712020:c4d5,30.0,0,Yes
CLAIMS-4922,Claims Portal,Sprint 47,Story,712020:c4d5,32.0,0,Yes
CLAIMS-4923,Claims Portal,Sprint 47,Story,712020:a3f9,37.0,0,Yes
CLAIMS-4924,Claims Portal,Sprint 47,Story,712020:c4d5,39.0,0,Yes
CLAIMS-4925,Claims Portal,Sprint 47,Story,712020:e6f7,41.0,0,Yes
CLAIMS-4926,Claims Portal,Sprint 47,Story,712020:a3f9,,0,Yes
CLAIMS-4927,Claims Portal,Sprint 47,Bug,712020:e6f7,,0,Yes
CLAIMS-4928,Claims Portal,Sprint 47,Bug,712020:c4d5,30.0,0,Yes
CLAIMS-4929,Claims Portal,Sprint 47,Bug,712020:c4d5,44.0,0,Yes
CLAIMS-4930,Claims Portal,Sprint 47,Bug,712020:c4d5,29.0,0,Yes
CLAIMS-4948,Claims Portal,Sprint 48,Story,712020:a3f9,45.0,1,Yes
CLAIMS-4949,Claims Portal,Sprint 48,Story,712020:a3f9,45.0,0,Yes
CLAIMS-4950,Claims Portal,Sprint 48,Story,712020:g8h9,33.0,0,Yes
CLAIMS-4951,Claims Portal,Sprint 48,Story,712020:a3f9,,0,Yes
CLAIMS-4952,Claims Portal,Sprint 48,Story,712020:e6f7,28.0,0,Yes
CLAIMS-4953,Claims Portal,Sprint 48,Story,712020:a3f9,35.0,0,Yes
CLAIMS-4954,Claims Portal,Sprint 48,Bug,712020:e6f7,32.0,1,Yes
CLAIMS-4955,Claims Portal,Sprint 48,Bug,712020:c4d5,36.0,0,Yes
CLAIMS-4956,Claims Portal,Sprint 48,Story,712020:a3f9,47.0,1,Yes
CLAIMS-4957,Claims Portal,Sprint 48,Story,712020:e6f7,44.0,1,Yes
MOB-4801,Mobile Banking,Sprint 43,Story,712020:c4d5,55.0,1,No
MOB-4802,Mobile Banking,Sprint 43,Story,712020:g8h9,66.0,0,No
MOB-4803,Mobile Banking,Sprint 43,Bug,712020:b1c2,50.0,0,No
MOB-4804,Mobile Banking,Sprint 43,Story,712020:c4d5,61.0,0,No
MOB-4805,Mobile Banking,Sprint 43,Story,712020:a3f9,,0,No
MOB-4806,Mobile Banking,Sprint 43,Story,712020:e6f7,55.0,0,No
MOB-4807,Mobile Banking,Sprint 43,Story,712020:b1c2,64.0,0,No
MOB-4823,Mobile Banking,Sprint 44,Story,712020:e6f7,,0,No
MOB-4824,Mobile Banking,Sprint 44,Bug,712020:c4d5,,0,No
MOB-4825,Mobile Banking,Sprint 44,Story,712020:c4d5,63.0,1,No
MOB-4826,Mobile Banking,Sprint 44,Story,712020:g8h9,54.0,0,No
MOB-4827,Mobile Banking,Sprint 44,Story,712020:g8h9,67.0,0,No
MOB-4828,Mobile Banking,Sprint 44,Story,712020:c4d5,63.0,0,No
MOB-4829,Mobile Banking,Sprint 44,Story,712020:g8h9,53.0,0,No
MOB-4830,Mobile Banking,Sprint 44,Bug,712020:c4d5,62.0,0,No
MOB-4846,Mobile Banking,Sprint 45,Story,712020:e6f7,,0,No
MOB-4847,Mobile Banking,Sprint 45,Story,712020:b1c2,58.0,1,No
MOB-4848,Mobile Banking,Sprint 45,Story,712020:e6f7,67.0,0,No
MOB-4849,Mobile Banking,Sprint 45,Bug,712020:e6f7,67.0,1,No
MOB-4850,Mobile Banking,Sprint 45,Story,712020:c4d5,62.0,0,No
MOB-4851,Mobile Banking,Sprint 45,Story,712020:e6f7,57.0,0,No
MOB-4852,Mobile Banking,Sprint 45,Story,712020:c4d5,60.0,0,No
MOB-4876,Mobile Banking,Sprint 46,Story,712020:c4d5,49.0,0,No
MOB-4877,Mobile Banking,Sprint 46,Story,712020:a3f9,65.0,0,No
MOB-4878,Mobile Banking,Sprint 46,Bug,712020:b1c2,,0,No
MOB-4879,Mobile Banking,Sprint 46,Bug,712020:e6f7,68.0,0,No
MOB-4880,Mobile Banking,Sprint 46,Story,712020:e6f7,59.0,0,No
MOB-4881,Mobile Banking,Sprint 46,Bug,712020:a3f9,71.0,0,No
MOB-4882,Mobile Banking,Sprint 46,Bug,712020:b1c2,,0,No
MOB-4883,Mobile Banking,Sprint 46,Bug,712020:g8h9,50.0,0,No
MOB-4884,Mobile Banking,Sprint 46,Bug,712020:b1c2,59.0,0,No
MOB-4885,Mobile Banking,Sprint 46,Story,712020:g8h9,64.0,0,No
MOB-4903,Mobile Banking,Sprint 47,Bug,712020:c4d5,,0,No
MOB-4904,Mobile Banking,Sprint 47,Story,712020:g8h9,69.0,0,No
MOB-4905,Mobile Banking,Sprint 47,Bug,712020:a3f9,64.0,0,No
MOB-4906,Mobile Banking,Sprint 47,Bug,712020:a3f9,63.0,0,No
MOB-4907,Mobile Banking,Sprint 47,Story,712020:g8h9,55.0,0,No
MOB-4908,Mobile Banking,Sprint 47,Story,712020:b1c2,63.0,0,No
MOB-4909,Mobile Banking,Sprint 47,Story,712020:a3f9,61.0,1,No
MOB-4910,Mobile Banking,Sprint 47,Story,712020:e6f7,56.0,0,No
MOB-4911,Mobile Banking,Sprint 47,Bug,712020:a3f9,,0,No
MOB-4912,Mobile Banking,Sprint 47,Story,712020:a3f9,,0,No
MOB-4931,Mobile Banking,Sprint 48,Bug,712020:e6f7,,0,No
MOB-4932,Mobile Banking,Sprint 48,Story,712020:a3f9,64.0,1,No
MOB-4933,Mobile Banking,Sprint 48,Story,712020:c4d5,68.0,0,No
MOB-4934,Mobile Banking,Sprint 48,Story,712020:g8h9,57.0,0,No
MOB-4935,Mobile Banking,Sprint 48,Bug,712020:a3f9,68.0,1,No
MOB-4936,Mobile Banking,Sprint 48,Story,712020:c4d5,63.0,0,No
MOB-4937,Mobile Banking,Sprint 48,Bug,712020:g8h9,58.0,0,No
MOB-4938,Mobile Banking,Sprint 48,Story,712020:e6f7,66.0,0,No
